ip,anonymityLevel,asn,country,isp,latency,org,port,protocols,responseTime,speed,updated_at,upTime,upTimeSuccessCount,upTimeTryCount
"89.25.23.211","elite","AS41313","BG","\"NOVATEL\" EOOD","55","\"NOVATEL\" EOOD","4153","socks4","5254","1","2022-09-29T15:29:24.961Z","100","107","107"
"217.23.76.142","elite","AS15974","RU","VTT-0 (Saratov Part-I)","65","JSC Volgatranstelecom","10001","socks4","5087","1","2022-09-29T15:29:24.963Z","100","103","103"
"86.123.217.199","elite","AS8708","RO","RCS & RDS","46","RCS & RDS Residential","8080","socks4","5094","1","2022-09-29T15:29:21.299Z","100","51","51"
"217.115.115.253","elite","AS30900","IE","Sternforth Ltd.","23","Webworld","56792","socks5","1694","1","2022-09-29T15:29:21.299Z","96","104","108"
"100.4.91.158","elite","AS701","US","Verizon Communications","89","MCI Communications Services, Inc. d/b/a Verizon Business","8080","socks4","4670","1","2022-09-29T15:29:17.397Z","100","61","61"
"170.245.109.91","elite","AS263152","BR","Migo Telecom","245","Migo Telecom","80","socks5","4948","1","2022-09-29T15:29:17.389Z","93","51","55"
"51.210.182.12","elite","AS16276","FR","OVH SAS","5","OVH","47514","socks4","4584","1","2022-09-29T15:29:17.409Z","100","96","96"
"181.117.128.38","elite","AS11664","AR","Techtel LMDS Comunicaciones Interactivas S.A.","239","AMX Argentina S.A","5678","socks4","5060","1","2022-09-29T15:29:13.560Z","100","81","81"
"212.83.143.211","elite","AS12876","FR","Online S.A.S.","1","ONLINE","65444","socks5","3614","1","2022-09-29T15:29:13.559Z","100","72","72"
"193.108.21.234","anonymous","AS20493","FR","Viparis LE Palais DES Congres De Paris SAS","2","Viparis LE Palais DES Congres De Paris","1234","http","5103","3805","2022-09-29T15:29:09.909Z","100","107","107"
"103.59.203.169","elite","AS134014","IN","NET 4 U SERVICES PVT LTD","110","NET 4 U Services PVT LTD","4145","socks4","5024","1","2022-09-29T15:29:09.907Z","99","106","107"
"94.43.64.47","elite","AS35805","GE","JSC \"Silknet\"","79","Silknet - 4","5678","socks4","4966","1","2022-09-29T15:29:09.907Z","100","101","101"
"153.3.42.221","elite","AS4837","CN","China Unicom Jiangsu Province Network","209","N/A","1080","socks4","5030","1","2022-09-29T15:29:06.206Z","97","63","65"
"202.55.5.209","elite","AS4809","HK","Chinatelecom Next Carrying Network Backbone","177","N/A","8090","socks4","5116","1","2022-09-29T15:29:06.205Z","98","105","107"
"189.50.111.105","elite","AS28668","BR","Silva & Silveira Provedor de Internet Ltda","204","Silva & Silveira Provedor de Internet Ltda","3629","socks4","5074","1","2022-09-29T15:29:06.205Z","72","73","101"
